,Sr No,startup,vertical,city,investors,round,amount,year,state
1470,1471,NeuroEquilibrium,Technology,Jaipur,Unicorn india ventures,Seed Funding,2.06,2016,Rajasthan
1471,1472,NeuroSynaptic,Technology,Bengaluru,"Indian angel network, Healthsquad, Axilor ventures",Private Equity,0.0,2016,Karnataka
1472,1473,NewsDistill,Consumer Internet,Hyderabad,"Ganesh narasimhan, Ramana thumu, Sudhir mallem",Seed Funding,0.83,2016,Telangana
1473,1474,NewsLaundry,Consumer Internet,New Delhi,"Omidyar network,  vikram lal, Abhijit bhandari, Mahesh murthy, Shashank bhagat",Private Equity,0.0,2016,Delhi
1474,1475,Newspatrolling,Consumer Internet,New Delhi,Undisclosed,Seed Funding,0.21,2016,Delhi
1475,1476,Niki.ai,AI,Bengaluru,Ratan tata,Private Equity,0.0,2016,Karnataka
1476,1477,Ninjacart,AgriTech,Bengaluru,"Accel partners, Qualcomm ventures, M&s partners, Zop smart",Private Equity,24.75,2016,Karnataka
1477,1478,NiYO Solutions,Finance,Bengaluru,Prime venture partners,Private Equity,8.25,2016,Karnataka
1478,1479,NoBroker,Consumer Internet,Bengaluru,"Beenext, Digital garage, Beenos, Qualgro, Mamoru taniya, Saif partners",Private Equity,82.5,2016,Karnataka
1479,1480,NoBroker,Consumer Internet,Bengaluru,"Ktb network, Saif partners, Beenext, Digital garage",Private Equity,61.05,2016,Karnataka
1480,1481,NoBroker,Consumer Internet,Bengaluru,Anand chandrasekaran,Seed Funding,0.0,2016,Karnataka
1481,1482,Noddapp,Consumer Internet,Mumbai,Undisclosed multiple investors,Seed Funding,1.21,2016,Maharashtra
1482,1483,Notary Mama,Consumer Internet,Bengaluru,"Dr nandish domlur, Amit sandill",Seed Funding,0.0,2016,Karnataka
1483,1484,Notesgen,EdTech,New Delhi,"Riju gupta, Kamal chabra",Seed Funding,0.83,2016,Delhi
1484,1485,Notion Press,Consumer Internet,Chennai,Undisclosed hni investors,Private Equity,8.25,2016,Tamil Nadu
1485,1486,Nukkad Shops,Consumer Internet,Hyderabad,Purpletalk inc,Seed Funding,8.25,2016,Telangana
1486,1487,numberz.in,Technology,Gurugram,"Kae capital, Khosla impact",Seed Funding,5.36,2016,Haryana
1487,1488,Nykaa,Consumer Internet,Mumbai,"Sunil munjal, Mariwala family",Private Equity,101.48,2016,Maharashtra
1488,1489,Nykaa,Consumer Internet,Mumbai,Max ventures and industries,Private Equity,0.0,2016,Maharashtra
1489,1490,Obino,Healthcare,Mumbai,Roundglass partners,Private Equity,0.0,2016,Maharashtra
1490,1491,Octo.ai,Technology,New Delhi,"Outbox ventures, Jaspreet bindra, Arjun malhotra, Rohan malhotra, Sidharth rao, Rakesh agrawal",Seed Funding,1.65,2016,Delhi
1491,1492,OfBusiness,Fintech,Gurugram,"Zodius technology opportunities fund, Matrix partners",Private Equity,91.58,2016,Haryana
1492,1493,OfBusiness,Fintech,Gurugram,Matrix partners india,Private Equity,41.25,2016,Haryana
1493,1494,Oliveboard,Consumer Internet,Bengaluru,India educational investment fund,Private Equity,0.0,2016,Karnataka
1494,1495,OneClickWash,Consumer Internet,Gurugram,Unitus seed fund,Seed Funding,0.0,2016,Haryana
1495,1496,Oneway.cab,Transportation,Vadodara,Indian angel network,Seed Funding,3.71,2016,Gujarat
1496,1497,ONN Bikes,E-Commerce,Mumbai,Grace capital ventures,Seed Funding,0.0,2016,Maharashtra
1497,1498,Onspoon,Consumer Internet,Mumbai,Swan angel network,Seed Funding,1.24,2016,Maharashtra
1498,1499,Orahi,Consumer Internet,Gurugram,Indian angel network,Seed Funding,4.29,2016,Haryana
1499,1500,OrangeTwig,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,8.25,2016,Delhi
1500,1501,Organicshop,E-Commerce,Jaipur,"Vivek nathani, Yogesh chaudhary, Mahavir pratap sharma, Kamal kothari, H c jain",Seed Funding,0.0,2016,Rajasthan
1501,1502,Oust App,Consumer Internet,Bengaluru,"T v mohandas pai,  aarin capital",Seed Funding,0.0,2016,Karnataka
1502,1503,Overcart,E-Commerce,Gurugram,"Jsw ventures, Omidyar network, Sattva capital, Venture works",Private Equity,24.75,2016,Haryana
1503,1504,OyBob,E-Commerce,Gurugram,Sachin dalal,Seed Funding,0.0,2016,Haryana
1504,1505,OYO,Hospitality,Gurugram,"Softbank, Sequoia capital, Lightspeed venture partners, Greenoaks capital, Dsg consumer partners and venture nursery",Private Equity,825.0,2016,Delhi
1505,1506,OYO,Hospitality,Gurugram,Softbank group,Private Equity,511.5,2016,Delhi
1506,1507,OYO,Hospitality,Gurugram,Rn agarwal,Seed Funding,0.0,2016,Karnataka
1507,1508,Padhopadhao,Consumer Internet,New Delhi,Rise india,Private Equity,0.0,2016,Delhi
1508,1509,Pandorum Technologies,Technology,Bengaluru,"Sachin bansal, Binny bansal",Seed Funding,0.0,2016,Karnataka
1509,1510,ParaBlu,Technology,Bengaluru,Kalaari capital,Seed Funding,4.13,2016,Karnataka
1510,1511,Parentlane,Consumer Internet,Bengaluru,Rohit ma,Seed Funding,0.0,2016,Karnataka
1511,1512,Paytm,E-Commerce,Bengaluru,Mediatek inc.,Private Equity,495.0,2016,Karnataka
1512,1513,Paytunes,Consumer Internet,New Delhi,"Cio angel network, Indian angel network",Private Equity,4.13,2016,Delhi
1513,1514,Pepperfry,E-Commerce,Mumbai,"Goldman sachs group, Zodius technology fund, Norwest venture partners, Bertelsmann india",Private Equity,258.23,2016,Maharashtra
1514,1515,Perfumery,E-Commerce,New Delhi,Oranda global & others,Seed Funding,0.25,2016,Delhi
1515,1516,Petoo,Consumer Internet,Bengaluru,Axilor ventures,Private Equity,8.25,2016,Karnataka
1516,1517,Petoo,Consumer Internet,Bengaluru,Existing investors,Seed Funding,4.13,2016,Karnataka
1517,1518,PharmaRack,Technology,Mumbai,"Currae healthtech fund, Unicorn india ventures",Private Equity,6.15,2016,Maharashtra
1518,1519,Pi Data Centers,Technology,Hyderabad,Epsilon venture partners,Private Equity,189.75,2016,Telangana
1519,1520,Pianta,Consumer Internet,Bengaluru,"Kunal shah, Sandeep tandon",Seed Funding,0.0,2016,Karnataka
1520,1521,PickMyLaundry,Consumer Internet,New Delhi,"Kedar lele, Ghv accelerator",Seed Funding,1.65,2016,Delhi
1521,1522,Pickrr,Logistics,New Delhi,Swastika company ltd,Seed Funding,0.0,2016,Delhi
1522,1523,PicsDream,Consumer Internet,New Delhi,Raman roy,Seed Funding,0.0,2016,Delhi
1523,1524,Pictor Imaging,Consumer Internet,Mumbai,Quarizon,Seed Funding,1.21,2016,Maharashtra
1524,1525,Pikkol,Logistics,Bengaluru,"Ajay nanavati, Afsal salu",Seed Funding,0.0,2016,Karnataka
1525,1526,PinClick,Consumer Internet,Bengaluru,Undisclosed investors,Private Equity,0.0,2016,Karnataka
1526,1527,Pindropmusic,Consumer Internet,Noida,Green house ventures (ghv),Seed Funding,0.83,2016,Uttar Pradesh
1527,1528,PinkBlue,Healthcare,Bengaluru,"Hari krishna, Ajay modani, Dr v ravinder, Anirudh rastogi, Abhishek jain, Rakesh gakhar, Rajeev mudumba, Nagendra prasad bhanuprakash",Seed Funding,1.84,2016,Karnataka
1528,1529,Pitstop,Consumer Internet,Bengaluru,"Alex chua, Rahul garg",Seed Funding,0.0,2016,Karnataka
1529,1530,PitStop,Consumer Internet,Bengaluru,Myntra/livspace founders,Seed Funding,0.0,2016,Karnataka
1530,1531,Planys Technologies,Technology,Chennai,"Bhanu vikram parsotam, Rohan desai and paras patel",Seed Funding,1.24,2016,Tamil Nadu
1531,1532,Play Your Sport,Consumer Internet,New Delhi,Ashish gupta and other undisclosed investors,Seed Funding,0.0,2016,Delhi
1532,1533,Playment,Consumer Internet,Bengaluru,Saif partners,Private Equity,5.78,2016,Karnataka
1533,1534,PlaySimple,Technology,Bengaluru,"Saif partners, Idg ventures india",Private Equity,33.0,2016,Karnataka
1534,1535,PlexusMD,Consumer Internet,Ahmedabad,"Arihant patni, Avnish mehra, Pranay adhvaryu, Ravi sampat",Seed Funding,0.0,2016,Gujarat
1535,1536,Plick,Consumer Internet,Mumbai,Sanjay mehta,Seed Funding,0.0,2016,Maharashtra
1536,1537,Plix,Consumer Internet,Gurugram,Instalabs,Seed Funding,4.13,2016,Haryana
1537,1538,Pocket Aces,Technology,Mumbai,"Sequoia capital india, North base media, Aarin capital, 3one4 capital, Axilor ventures, Kunal shah, Sandeep tandon",Private Equity,24.75,2016,Maharashtra
1538,1539,Pocketin,Consumer Internet,Noida,Swastika company ltd,Seed Funding,1.24,2016,Uttar Pradesh
1539,1540,Poshtic,Consumer Internet,Noida,"Havya sharma, Amit nagar",Seed Funding,3.71,2016,Uttar Pradesh
1540,1541,Postman,Software,Bengaluru,Nexus venture partners,Private Equity,57.75,2016,Karnataka
1541,1542,Power2SME,E-Commerce,Gurugram,"Nandan nilekani, Accel partners, Kalaari capital and inventus capital",Private Equity,173.25,2016,Haryana
1542,1543,Pramati,Healthcare,Noida,Undisclosed investors,Seed Funding,1.65,2016,Uttar Pradesh
1543,1544,PratiLipi,Consumer Internet,Bengaluru,Nexus venture partners,Seed Funding,0.0,2016,Karnataka
1544,1545,Prepathon,Education,Mumbai,Blume ventures,Private Equity,0.0,2016,Maharashtra
1545,1546,Prescribez,Consumer Internet,Pune,Ankush mehta,Seed Funding,1.2,2016,Maharashtra
1546,1547,PressPlay TV,Consumer Internet,New Delhi,"Sequoia capital, Sd ventures, Vistaar investment advisors pvt. ltd.",Private Equity,0.0,2016,Delhi
1547,1548,PrettySecrets,E-Commerce,Mumbai,"Rb investments pte ltd, Orios venture partners",Private Equity,49.5,2016,Maharashtra
1548,1549,PriceRaja,Consumer Internet,Gurugram,Prashant puri,Seed Funding,2.48,2016,Haryana
1549,1550,Prime Focus Technologies,Technology,Mumbai,Ambit pragma,Private Equity,0.0,2016,Maharashtra
1550,1551,Process 9,Consumer Internet,Gurugram,"Indian angel network, Alok sharma, Kris gopalakrishnan, Saurabh srivastava, And ajai chowdhry",Seed Funding,0.0,2016,Haryana
1551,1552,ProcMart,Consumer Internet,Noida,Indiamart,Private Equity,0.0,2016,Uttar Pradesh
1552,1553,Promon,E-Commerce,New Delhi,Now capital,Seed Funding,1.49,2016,Delhi
1553,1554,Proximit,Technology,Pune,Funding through 1crowd platform,Seed Funding,1.24,2016,Maharashtra
1554,1555,Prozo,E-Commerce,Gurugram,"Earlsfield capital, Sailender solanki, Rajiv solanki",Seed Funding,2.6,2016,Haryana
1555,1556,Pulse,FinTech,Bengaluru,Saif partners,Private Equity,4.13,2016,Karnataka
1556,1557,Puro Wellness,Healthcare,Mumbai,Torrent group,Private Equity,305.25,2016,Maharashtra
1557,1558,Purple Style Labs,EdTech,Mumbai,"Augment ventures, Rahul kayan, Nikhil golcha, Shubham gupta, Roy kwan",Seed Funding,3.7,2016,Maharashtra
1558,1559,PurpleDocs,Consumer Internet,Vadodara,"Kellygamma, Lead angels & others",Seed Funding,0.0,2016,Gujarat
1559,1560,PurpleHealth,Consumer Internet,Trivandrum,Katabole technology venture,Seed Funding,0.83,2016,Kerala
1560,1561,Purplle,E-Commerce,Mumbai,"Jsw ventures, Blume ventures & ivycap ventures",Private Equity,49.5,2016,Maharashtra
1561,1562,Qacco,Consumer Internet,Gurugram,"Lead angels network, Anbu pandian, Prabhakar mr & others",Seed Funding,1.24,2016,Haryana
1562,1563,Qdesq,Real Estate,Gurugram,"Dheeraj jain, Jagdish kumar, Bharat gupta, Ankush saigal, Praveen saini",Seed Funding,0.0,2016,Haryana
1563,1564,QikShip,Consumer Internet,New Delhi,Undisclosed investors,Seed Funding,1.65,2016,Delhi
1564,1565,Qlivery,Consumer Internet,Gurugram,Swastika company ltd,Seed Funding,1.9,2016,Haryana
1565,1566,Qlivery,Consumer Internet,Gurugram,Chandigarh angels funding,Seed Funding,0.0,2016,Haryana
1566,1567,Qonfuse,Consumer Internet,New Delhi,Hamraj kumar,Seed Funding,0.0,2016,Delhi
1567,1568,Qriyo,Consumer Internet,Jodhpur,Idein ventures,Seed Funding,1.32,2016,Rajasthan
1568,1569,Qubole,Technology,Bengaluru,"Institutional venture partners, Norwest venture partners, Lightspeed venture partners, Crv",Private Equity,247.5,2016,Karnataka
1569,1570,Quickli,Logistics,Gurugram,"Avg group, 500 startups",Private Equity,0.0,2016,Haryana
1570,1571,Quikr,Marketing ,Bengaluru,Brand capital,Private Equity,165.0,2016,Karnataka
1571,1572,RailYatri,Travel,Noida,"Helion ventures, Blume ventures",Private Equity,0.0,2016,Uttar Pradesh
1572,1573,RainCan,AgriTech,Pune,Dr. aniruddha malpani,Seed Funding,1.24,2016,Maharashtra
1573,1574,Rapido,Transportation,Bengaluru,"Pawan munjal, Advantedge partners, Astarc ventures",Private Equity,0.0,2016,Karnataka
1574,1575,Rare Media,Technology,New Delhi,Info edge (india) ltd,Private Equity,9.08,2016,Delhi
1575,1576,RayIOT,Technology,Bengaluru,Hax accelerator,Seed Funding,0.83,2016,Karnataka
1576,1577,RazorPay,FinTech,Bengaluru,Mastercard,Private Equity,0.0,2016,Karnataka
1577,1578,Reach,Consumer Internet,Bengaluru,"Rebright partners, Sol primero, Sudhir anandarao, Ankur warikoo, Ankur singla",Seed Funding,4.13,2016,Karnataka
1578,1579,RealBox,Technology,Noida,Hyderabad angels,Seed Funding,2.48,2016,Uttar Pradesh
1579,1580,Reddoorz,Consumer Internet,New Delhi,500 startups,Private Equity,0.0,2016,Delhi
1580,1581,Redsun Telematics,Consumer Internet,Chennai,Tvs automobile solutions ltd,Private Equity,0.0,2016,Tamil Nadu
1581,1582,Remidio,Healthcare,Bengaluru,Cipher-plexus capital advisors & indian hnis,Private Equity,0.0,2016,Karnataka
1582,1583,Remitr,Consumer Internet,Mumbai,"Vijay shekhar sharma, Pravin gandhi,  smart start fund; kunal shah,  sandeep tandon, Vishal gondal, & others",Seed Funding,8.25,2016,Maharashtra
1583,1584,RenewBuy,Finance,New Delhi,Mount nathan advisors,Seed Funding,8.25,2016,Haryana
1584,1585,Renowala,Households,Hyderabad,Pradeep dhobale,Seed Funding,0.0,2016,Telangana
1585,1586,Rentalpha,Services,Mumbai,Bravia capital,Private Equity,132.0,2016,Maharashtra
1586,1587,Rentickle,E-Commerce,New Delhi,"Manish kheterpal, Vinay mittal, Dinesh mittal, Sandeep gupta",Seed Funding,2.06,2016,Delhi
1587,1588,RentMojo,Consumer Internet,Bengaluru,"Accel partners, Idg ventures india",Private Equity,41.25,2016,Karnataka
1588,1589,Rentomo,Consumer Internet,Bengaluru,Shiva ashok & other unnamed investors,Seed Funding,0.83,2016,Karnataka
1589,1590,RentSher,Consumer Internet,Bengaluru,"Vaibhav doshi, Abhay singhal, Vibhu garg, Joby babu, Abhishek acharya, Manish shah",Seed Funding,2.48,2016,Karnataka
1590,1591,RepairEasy,Consumer Internet,Pune,Undisclosed hnis,Seed Funding,2.27,2016,Maharashtra
1591,1592,REstate,Consumer Internet,Bengaluru,Idein ventures,Seed Funding,0.0,2016,Karnataka
1592,1593,Revv,Consumer Internet,New Delhi,Edelweiss private equity,Private Equity,74.25,2016,Delhi
1593,1594,Ridlr,Consumer Internet,Mumbai,"Times internet, Innoven capital, Matrix partners india, Qualcomm ventures",Private Equity,49.5,2016,Maharashtra
1594,1595,Rivigo,Logistics,Gurugram,Warburg pincus,Private Equity,618.75,2016,Haryana
1595,1596,RKSV,Consumer Internet,Mumbai,Kalaari capital,Private Equity,33.0,2016,Maharashtra
1596,1597,RoadGods,E-Commerce,New Delhi,Green house ventures (ghv),Seed Funding,0.83,2016,Delhi
1597,1598,Roast,Consumer Internet,New Delhi,Indian angel network,Seed Funding,0.0,2016,Delhi
1598,1599,RoboVac,Technology,Ahmedabad,Virendra patel,Seed Funding,3.71,2016,Gujarat
1599,1600,Roder,Consumer Internet,New Delhi,Unicorn india ventures,Seed Funding,1.98,2016,Delhi
1600,1601,Roll Mafia,Food ,Pune,Equentia natural resource & other undisclosed investors,Seed Funding,0.0,2016,Maharashtra
1601,1602,Room On Call,Consumer Internet,Gurugram,Cashurdrive marketing pvt ltd,Private Equity,16.5,2016,Haryana
1602,1603,Rooter,Sports,New Delhi,"Boman irani, Dhruv chitgopekar, Prantik dasgupta",Seed Funding,0.0,2016,Delhi
1603,1604,Roposo,Social Media,Gurugram,Bertelsmann india investments,Private Equity,123.75,2016,Haryana
1604,1605,Runnr,Consumer Internet,Bengaluru,"Nexus venture partners, Blume ventures",Private Equity,57.75,2016,Karnataka
1605,1606,Rupaiya Exchange,Consumer Internet,New Delhi,Undisclosed investors,Seed Funding,1.65,2016,Delhi
1606,1607,Saavn,Consumer Internet,Mumbai,Guy oseary,Private Equity,0.0,2016,Maharashtra
1607,1608,Sagacito,Technology,New Delhi,Star india pvt. ltd,Private Equity,82.5,2016,Delhi
1608,1609,SaleBhai,E-Commerce,Ahmedabad,Brand capital,Private Equity,12.38,2016,Gujarat
1609,1610,Salebhai,E-Commerce,Ahmedabad,"Virendra shekhawat, Deepak chokhani, Yogesh patel & others",Seed Funding,0.0,2016,Gujarat
1610,1611,Saral Designs,Healthcare,Mumbai,"Farooq adam, Ambi parameswaran,",Seed Funding,0.0,2016,Maharashtra
1611,1612,Sattviko,E-Commerce,New Delhi,"Raman roy, Ashish gupta, Yogesh andlay, Vaibhav jain",Seed Funding,0.0,2016,Delhi
1612,1613,SatvaCart,E-Commerce,Gurugram,"Abhijit avasthi, Karan chellani, Sp vijay",Seed Funding,0.0,2016,Haryana
1613,1614,SatvaKart,E-Commerce,Gurugram,Nimit panigrahi,Seed Funding,0.0,2016,Haryana
1614,1615,SavvyMob,E-Commerce,Bengaluru,"Tv mohandas pai, Letsventure",Seed Funding,8.25,2016,Karnataka
1615,1616,Sayfix,Consumer Internet,Bengaluru,Yajnanarayana kammaje,Seed Funding,1.32,2016,Karnataka
1616,1617,Scandid,Consumer Internet,Pune,3one4 capital,Private Equity,0.0,2016,Maharashtra
1617,1618,Schedulers Logistics,Logistics,Mumbai,Gvfl,Private Equity,49.5,2016,Maharashtra
1618,1619,Schoolkart,E-Commerce,Noida,Undisclosed investors,Seed Funding,2.48,2016,Uttar Pradesh
1619,1620,SchoolWear,E-Commerce,Mumbai,Undisclosed investors,Seed Funding,12.38,2016,Maharashtra
1620,1621,Scienaptic,Technology,Bengaluru,Pramod bhasin,Seed Funding,0.0,2016,Karnataka
1621,1622,Scripbox,FinTech,Bengaluru,"Omidyar network, Accel partners & existing investors",Private Equity,0.0,2016,Karnataka
1622,1623,Seclore,Technology,Mumbai,"Sistema asia fund, Helion venture, Ventureeast, India alternatives",Private Equity,99.0,2016,Maharashtra
1623,1624,SeeDoc,Consumer Internet,Gurugram,Yournest angel fund & others,Private Equity,8.25,2016,Haryana
1624,1625,Sensara,Technology,Bengaluru,"Lalitesh katragadda,  ganayantrika systems",Seed Funding,6.19,2016,Karnataka
1625,1626,SERV'D,Consumer Internet,Pune,Digital financial service lab,Seed Funding,0.83,2016,Maharashtra
1626,1627,Servify,SaaS,Mumbai,"Blume ventures, Barkawi holdings gmbh, Tm service technology holdings gmbh",Private Equity,0.0,2016,Maharashtra
1627,1628,Sesame Software,Technology,Kozhikode,Speridian technologies,Private Equity,0.0,2016,Kerala
1628,1629,ShaadiSaga,Consumer Internet,New Delhi,"Ah! ventures, Anupam mittal, Kunal shah, Sandeep tandon, Dheeraj jain, Rohit chokhani",Seed Funding,0.0,2016,Delhi
1629,1630,ShabdaNagari,Consumer Internet,Kanpur,Kanpur angels & others,Seed Funding,1.65,2016,Uttar Pradesh
1630,1631,ShabdNagari,Consumer Internet,Kanpur,Ah! ventures,Seed Funding,0.0,2016,Uttar Pradesh
1631,1632,Shadowfox,Services,Gurugram,Eight roads ventures,Private Equity,82.5,2016,Haryana
1632,1633,ShareChat,Social Media,Bengaluru,"Lightspeed india partners, Saif partners, India quotient, Venture highway",Private Equity,33.0,2016,Karnataka
1633,1634,ShareChat,Social Media,Bengaluru,"Saif partners, India quotient",Private Equity,11.14,2016,Karnataka
1634,1635,Sheroes,Consumer Internet,Noida,"Lumis partners, The hr fund, Rajul garg, Quintillion media",Private Equity,14.85,2016,Uttar Pradesh
1635,1636,SheThePeople,Consumer Internet,New Delhi,Anand mahindra,Seed Funding,0.0,2016,Delhi
1636,1637,Shipsy,Logistics,Gurugram,Dtdc express ltd,Private Equity,8.25,2016,Haryana
1637,1638,Shoekonnect,E-Commerce,Agra,Indian angel network,Seed Funding,0.0,2016,Uttar Pradesh
1638,1639,ShoeKonnect,E-Commerce,Agra,Indian angels network,Seed Funding,0.0,2016,Uttar Pradesh
1639,1640,Shopclues,E-Commerce,Gurugram,"Gic, Tiger global management, Nexus venture partners",Private Equity,825.0,2016,Haryana
1640,1641,Shopkirana,E-Commerce,Indore,"Atul jain, Anil gelra, Jaikumar nair",Seed Funding,0.0,2016,Madhya Pradesh
1641,1642,ShopKirana,E-Commerce,Indore,"Incubate fund, Lead angels group & others",Private Equity,0.0,2016,Madhya Pradesh
1642,1643,ShoppinPal,Technology,Pune,"Plug and play tech center, Steelhead ventures & others",Private Equity,8.83,2016,Maharashtra
1643,1644,ShopsUp,E-Commerce,Bengaluru,"Anand sankeshwar, Yang shu",Seed Funding,7.94,2016,Karnataka
1644,1645,Shopwati,Consumer Internet,Gurugram,Sanjiv rai,Seed Funding,0.0,2016,Haryana
1645,1646,ShopX,E-Commerce,Bengaluru,Nandan nilekani,Private Equity,41.25,2016,Karnataka
1646,1647,Shouut,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,4.13,2016,Delhi
1647,1648,ShubhLoans,FinTech,Bengaluru,"Sanjai vohra, V. bunty bohra",Seed Funding,0.0,2016,Karnataka
